fit_time,score_time,test_f1_micro,train_f1_micro,test_precision_micro,train_precision_micro,test_recall_micro,train_recall_micro,meta
379.0121338367462,0.22794222831726074,0.9157480664947996,0.9211152102409103,0.9157480664947996,0.9211152102409103,0.9157480664947996,0.9211152102409103,SoftmaxRegression-CountVectorizer-None-None
378.0915250778198,0.27637600898742676,0.9169481731709486,0.9211929949328829,0.9169481731709486,0.9211929949328829,0.9169481731709486,0.9211929949328829,SoftmaxRegression-CountVectorizer-None-None
376.12535309791565,0.2842879295349121,0.9171926393457196,0.9207040625833407,0.9171926393457196,0.9207040625833407,0.9171926393457196,0.9207040625833407,SoftmaxRegression-CountVectorizer-None-None
377.2454090118408,0.2622208595275879,0.9146590808071828,0.9213541203662547,0.9146590808071828,0.9213541203662547,0.9146590808071828,0.9213541203662547,SoftmaxRegression-CountVectorizer-None-None
377.7375819683075,0.26799893379211426,0.9164814650191129,0.9213819006133879,0.9164814650191128,0.9213819006133879,0.9164814650191128,0.9213819006133879,SoftmaxRegression-CountVectorizer-None-None
284.91734790802,0.24377202987670898,0.8572762023290961,0.8607376211218775,0.857276202329096,0.8607376211218775,0.857276202329096,0.8607376211218775,SoftmaxRegression-TfidfVectorizer-None-None
286.06731700897217,0.1649620532989502,0.8600097786469908,0.8601042314872434,0.8600097786469908,0.8601042314872434,0.8600097786469908,0.8601042314872434,SoftmaxRegression-TfidfVectorizer-None-None
285.36712098121643,0.28284692764282227,0.8594986220997421,0.8610654280380479,0.8594986220997421,0.8610654280380479,0.8594986220997421,0.8610654280380479,SoftmaxRegression-TfidfVectorizer-None-None
286.0695550441742,0.15651702880859375,0.8578984798648769,0.8609709751977953,0.8578984798648769,0.8609709751977953,0.8578984798648769,0.8609709751977953,SoftmaxRegression-TfidfVectorizer-None-None
285.0696918964386,0.24170184135437012,0.8612543337185528,0.8600875633389633,0.8612543337185528,0.8600875633389634,0.8612543337185528,0.8600875633389634,SoftmaxRegression-TfidfVectorizer-None-None
257.92351388931274,0.1639268398284912,0.8430749399946662,0.8428360298693218,0.8430749399946662,0.8428360298693217,0.8430749399946662,0.8428360298693217,SoftmaxRegression-CountVectorizer-Normalizer-None
257.6490020751953,0.15313386917114258,0.844363943461641,0.8425526713485643,0.844363943461641,0.8425526713485643,0.844363943461641,0.8425526713485643,SoftmaxRegression-CountVectorizer-Normalizer-None
257.47030997276306,0.16152000427246094,0.8414525735620945,0.8437472219752867,0.8414525735620945,0.8437472219752867,0.8414525735620945,0.8437472219752867,SoftmaxRegression-CountVectorizer-Normalizer-None
257.95966601371765,0.15673184394836426,0.8411858831896168,0.8437638901235666,0.8411858831896168,0.8437638901235666,0.8411858831896168,0.8437638901235666,SoftmaxRegression-CountVectorizer-Normalizer-None
256.7645890712738,0.0660407543182373,0.8432527335763179,0.8429749311049871,0.8432527335763179,0.8429749311049871,0.8432527335763179,0.8429749311049871,SoftmaxRegression-CountVectorizer-Normalizer-None
227.47166419029236,0.08218598365783691,0.8572095297359765,0.8605987198862121,0.8572095297359765,0.8605987198862121,0.8572095297359765,0.8605987198862121,SoftmaxRegression-TfidfVectorizer-Normalizer-None
226.66130828857422,0.16492700576782227,0.8602542448217619,0.8601320117343764,0.8602542448217619,0.8601320117343764,0.8602542448217619,0.8601320117343764,SoftmaxRegression-TfidfVectorizer-Normalizer-None
227.28164315223694,0.16373085975646973,0.8595208462974487,0.8610376477909147,0.8595208462974486,0.8610376477909147,0.8595208462974486,0.8610376477909147,SoftmaxRegression-TfidfVectorizer-Normalizer-None
227.85671210289001,0.1203758716583252,0.8581429460396479,0.8607987376655702,0.8581429460396479,0.8607987376655702,0.8581429460396479,0.8607987376655702,SoftmaxRegression-TfidfVectorizer-Normalizer-None
227.4760410785675,0.1372089385986328,0.8614765756956174,0.8600708951906836,0.8614765756956174,0.8600708951906836,0.8614765756956174,0.8600708951906836,SoftmaxRegression-TfidfVectorizer-Normalizer-None
157.01622200012207,0.16838693618774414,0.893057160636501,0.8937961152102409,0.893057160636501,0.8937961152102409,0.893057160636501,0.8937961152102409,SoftmaxRegression-CountVectorizer-None-TruncatedSVD
157.24490070343018,0.16176724433898926,0.8938350075562272,0.8936072095297359,0.8938350075562272,0.8936072095297359,0.8938350075562272,0.8936072095297359,SoftmaxRegression-CountVectorizer-None-TruncatedSVD
157.64493203163147,0.14883995056152344,0.8931238332296204,0.893490532491777,0.8931238332296204,0.893490532491777,0.8931238332296204,0.893490532491777,SoftmaxRegression-CountVectorizer-None-TruncatedSVD
157.89793992042542,0.13449883460998535,0.8897679793759445,0.8943795004000356,0.8897679793759445,0.8943795004000356,0.8897679793759445,0.8943795004000356,SoftmaxRegression-CountVectorizer-None-TruncatedSVD
157.41238284111023,0.16362428665161133,0.8945017334874211,0.8931405013779002,0.8945017334874211,0.8931405013779002,0.8945017334874211,0.8931405013779002,SoftmaxRegression-CountVectorizer-None-TruncatedSVD
166.88559103012085,0.15699291229248047,0.8538981242777136,0.8561705484931993,0.8538981242777136,0.8561705484931994,0.8538981242777136,0.8561705484931994,SoftmaxRegression-TfidfVectorizer-None-TruncatedSVD
167.24174118041992,0.1018068790435791,0.855987198862121,0.8550426704595964,0.855987198862121,0.8550426704595964,0.855987198862121,0.8550426704595964,SoftmaxRegression-TfidfVectorizer-None-TruncatedSVD
167.15524673461914,0.13115906715393066,0.8547648679882657,0.855309360832074,0.8547648679882657,0.855309360832074,0.8547648679882657,0.855309360832074,SoftmaxRegression-TfidfVectorizer-None-TruncatedSVD
167.13794469833374,0.12122535705566406,0.851897946484132,0.8531536136545471,0.851897946484132,0.8531536136545471,0.851897946484132,0.8531536136545471,SoftmaxRegression-TfidfVectorizer-None-TruncatedSVD
167.06818890571594,0.14193320274353027,0.8559649746644146,0.8540036892168192,0.8559649746644146,0.8540036892168192,0.8559649746644146,0.8540036892168192,SoftmaxRegression-TfidfVectorizer-None-TruncatedSVD
0.7166600227355957,0.15196895599365234,0.8330073784336386,0.8476809049693306,0.8330073784336386,0.8476809049693306,0.8330073784336386,0.8476809049693306,NaiveBayesClassification-CountVectorizer-None-None
0.7008481025695801,0.1511397361755371,0.8357409547515334,0.8487143301626812,0.8357409547515334,0.8487143301626812,0.8357409547515334,0.8487143301626812,NaiveBayesClassification-CountVectorizer-None-None
0.6610758304595947,0.1515350341796875,0.8365410258689662,0.8503255844963997,0.8365410258689662,0.8503255844963997,0.8365410258689662,0.8503255844963997,NaiveBayesClassification-CountVectorizer-None-None
0.6835699081420898,0.15454912185668945,0.8328073606542805,0.8500977864699084,0.8328073606542804,0.8500977864699084,0.8328073606542804,0.8500977864699084,NaiveBayesClassification-CountVectorizer-None-None
0.6604630947113037,0.1632556915283203,0.8342519335052005,0.8492254867099298,0.8342519335052004,0.8492254867099298,0.8342519335052004,0.8492254867099298,NaiveBayesClassification-CountVectorizer-None-None
